name,description,category,subcategory,subsubcategory,combatscore,runescore
"A Fairy Tale I - Growing Pains","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Fairy Tale II - Cure a Queen","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Fairy Tale III - Battle at Ork's Rift","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Familiar Feeling","Use the Summoning obelisk near Rellekka's gate.","Area Tasks","Easy Fremennik","N/A","N/A","5"
"A Firemaker's Log","Burn each of the listed logs.","Skills","Firemaking","N/A","N/A","20"
"A Flicker in Darkness","Use a crater to convert a memory of tier 2 or higher to energy.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"A Flood of Spuds","Sample all of the listed baked potatoes. (X/7)","Activities","Eating","N/A","N/A","10"
"A Fort Of My Own","Upgrade all buildings in Fort Forinthry to Tier 3.","Exploration","Fort Forinthry","N/A","N/A","0"
"A Fungal Fun Ghoul","Spin some fungal bowstring at the spinning wheel in the City of Um.","Area Tasks","Hard Underworld","N/A","N/A","15"
"A Game of Cat and Amascut","Speak to Mekhat within the Sanctum of Rebirth.","Area Tasks","Elite Underworld","N/A","N/A","25"
"A Gift from Khazard","Use the Summoning obelisk to the east of the Fight Arena.","Area Tasks","Easy Ardougne","N/A","N/A","5"
"A Glade of Ember and Hatchets","Work with Wilfred (near Falador lodestone) to obtain a hatchet of ember and glade.","Skills","Woodcutting","N/A","N/A","30"
"A Grave Concoction","Make a Necromancy potion while in the City of Um.","Area Tasks","Medium Underworld","N/A","N/A","10"
"A Grave Consideration","Look through Father Aereck's selection of gravestones.","Area Tasks","Beginner Lumbridge","N/A","N/A","5"
"A Hatching Pair","After Extinction quest, ask Prehistoric Potterington at the Anachronia dinosaur farm about zygomites.","Activities","'Accidental' Skilling Station","N/A","N/A","5"
"A Hidden Gem I","Shatter a crystal geode. (X/1)","Skills","Woodcutting","N/A","N/A","5"
"A Hidden Gem II","Shatter 5 crystal geodes. (X/5)","Skills","Woodcutting","N/A","N/A","10"
"A Hidden Gem III","Shatter 10 crystal geodes. (X/10)","Skills","Woodcutting","N/A","N/A","20"
"A Hidden Gem IV","Shatter 25 crystal geodes. (X/25)","Skills","Woodcutting","N/A","N/A","30"
"A Knight in the Darkness","Ascend the Dark Wizards' Tower while wearing full proselyte armour.","Area Tasks","Hard Falador","N/A","N/A","15"
"A Lick of Paint","Select a colour for a new kitten.","Area Tasks","Medium Varrock","N/A","N/A","10"
"A Life of Death and Pickaxes","Work with Ramarno (in Camdozaal) to obtain a pickaxe of life and death. (X/9)","Skills","Mining","N/A","N/A","30"
"A Little Overdressed","Wear a full diving outfit to go diving in Everlight.","Skills","Archaeology","Saradominist","N/A","10"
"A Meal Fit For a Duke","Cook a lobster on the range in Lumbridge Castle's kitchen.","Area Tasks","Medium Lumbridge","N/A","N/A","10"
"A Mini Shipment","Loot the trunk in the Temple of Aminishi.","Combat","Shadow Reef","N/A","N/A","5"
"A Natural Thief","Attempt to steal a nature rune from a chest in a house to the east of Ardougne market.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"A New Age","Solve this mystery.","Skills","Archaeology","Dragonkin","N/A","15"
"A New Direction","Reunite Irwinsson with his lost compass.","Exploration","Anachronia","N/A","N/A","10"
"A New Discovery","After upgrading the grove at Fort Forinthry to Tier 3, return to Oak to learn about his new discovery.","Exploration","Fort Forinthry","N/A","N/A","5"
"A New Form","Solve this mystery.","Skills","Archaeology","Dragonkin","N/A","15"
"A New Home","Solve this mystery.","Skills","Archaeology","Dragonkin","N/A","15"
"A Palm For Each Finger","Collect 5 palm leaves.","Area Tasks","Hard Karamja","N/A","N/A","15"
"A Periodic Table","Get mahogany from your Etceterian subjects.","Area Tasks","Hard Fremennik","N/A","N/A","15"
"A Pizza the Loot","Create an anchovy pizza from scratch in the Bandit Camp and give it to Fat Tony. (X/5)","Area Tasks","Medium Wilderness","N/A","N/A","10"
"A Place For My Heads","Mount all three of the Raptor's slayer trophies.","Skills","Slayer","N/A","N/A","20"
"A Prayer for the Dying","Talk to Selene to learn a Necromancy prayer.","Area Tasks","Easy Underworld","N/A","N/A","5"
"A Prayer Opportunity","Build a prayer altar in the starting room and fill up your prayer points from it.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"A Purr-fect Toss","Throw an Explosive Scarab Akh at Amascut, the Devourer.","Combat","Amascut","N/A","N/A","5"
"A Quest for Understanding","Defeat Astellarn while at least two pulsars are still active.","Combat","Dragonkin Laboratory","Astellarn","4","25"
"A Reptile's Dysfunction","Upgrade Zorgoth's ring by completing rituals at the Ungael ritual site.","Skills","Necromancy","N/A","N/A","20"
"A Road Less Travelled","Pass the guards guarding the Wilderness entrance.","Area Tasks","Easy Daemonheim","N/A","N/A","5"
"A Seer-ing Light","Pray at the Seers' Village altar.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"A Shadow over Ashdale","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Slippery Slope I","Defeat the Arch-Glacor. (X/5)","Combat","Arch-Glacor","N/A","N/A","5"
"A Slippery Slope II","Defeat the Arch-Glacor. (X/10)","Combat","Arch-Glacor","N/A","1","5"
"A Slippery Slope III","Defeat the Arch-Glacor. (X/25)","Combat","Arch-Glacor","N/A","N/A","5"
"A Slippery Slope IV","Defeat the Arch-Glacor. (X/50)","Combat","Arch-Glacor","N/A","N/A","5"
"A Slippery Slope V","Defeat the Arch-Glacor. (X/75)","Combat","Arch-Glacor","N/A","N/A","5"
"A Slippery Slope VI","Defeat the Arch-Glacor. (X/100)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Earth and Pickaxes","Work with the blast furnace foreman (in Keldagrim) to obtain a pickaxe of earth and song.","Skills","Mining","N/A","N/A","30"
"A Song of Ice and Ire I","Defeat the Arch-Glacor at 50% enrage. (X/50)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Ice and Ire II","Defeat the Arch-Glacor at 100% enrage. (X/100)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Ice and Ire III","Defeat the Arch-Glacor at 250% enrage. (X/250)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Ice and Ire IV","Defeat the Arch-Glacor at 500% enrage. (X/500)","Combat","Arch-Glacor","N/A","4","25"
"A Song of Ice and Ire V","Defeat the Arch-Glacor at 750% enrage. (X/750)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Ice and Ire VI","Defeat the Arch-Glacor at 1,000% enrage. (X/1000)","Combat","Arch-Glacor","N/A","N/A","5"
"A Song of Ice and Ire VII","Defeat the Arch-Glacor at 2,000% enrage.","Combat","Arch-Glacor","N/A","5","40"
"A Sorrow State of Affairs","Activate the Sorrow prayer over the River Noumenon.","Area Tasks","Elite Underworld","N/A","N/A","25"
"A Soul's Bane","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A String and a Flare","Cast the String Jewellery spell while standing at the furnace in Falador.","Area Tasks","Elite Falador","N/A","N/A","25"
"A Study in Aether","Solve this mystery.","Skills","Archaeology","Armadylean","N/A","15"
"A Swift Two Fifty","Collect 250 or more tears from a single entry in Tears of Guthix.","Activities","Distractions & Diversions","N/A","N/A","40"
"A Tail of Two Cats","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Taste of the Exotic","Pick a papaya or coconut from the fruit tree patch near Tree Gnome Village.","Area Tasks","Hard Ardougne","N/A","N/A","15"
"A Thief Beyond Belief","Steal from each of the listed types of merchant stalls.","Skills","Thieving","N/A","N/A","20"
"A Ton of Earth","Craft 100 earth runes simultaneously without aid from an explorer's ring, pouches or familiars.","Area Tasks","Elite Varrock","N/A","N/A","25"
"A View to Die For","Find the amazing viewpoint overlooking the City of Um that will give you hours of enjoyment.","Area Tasks","Easy Underworld","N/A","N/A","5"
"A Visit to Charlie","Enter the unicorn pen in Ardougne Zoo using the fairy rings.","Area Tasks","Medium Ardougne","N/A","N/A","10"
"A Void Dance","Complete this quest.","Lore","Quests","N/A","N/A","0"
"A Wizard Did It","Talk to the wizard Avalani within a clan citadel.","Activities","Clans","N/A","N/A","0"
"A-Voiding Conflict","Win a Pest Control game after repairing all barricades to full.","Activities","Minigames","N/A","N/A","25"
"A, B, Cithara","Play the Holy Cithara while standing in the Citharede Abbey.","Area Tasks","Elite Desert","N/A","N/A","25"
"Abbinah Resting Here For a While","Find every ancient aviansie spirit at Stormguard.","Skills","Archaeology","Armadylean","N/A","10"
"Absolute Planker","Upgrade your plank box to hold 100 of each plank.","Skills","Construction","Contracts","N/A","10"
"Abyssal Shortcut","Unlock the asylum gate and complete the shortcut to the abyssal portal.","Skills","Slayer","N/A","N/A","10"
"Abyssal Valet","Have an abyssal titan familiar hold essence for you while runecrafting at Ourania Altar.","Area Tasks","Elite Ardougne","N/A","N/A","25"
"Ace of Dungeons","Complete a Daemonheim dungeon while you have one of the gorajo cards active.","Area Tasks","Elite Tirannwn","N/A","N/A","25"
"Acid-washed","Defeat Araxxor and Araxxi while at most 10% of the total acid remains in the pool after taking the Acid path during phase 2.","Combat","Araxxi","N/A","3","15"
"Ad-Myre The Goods","View the stock in Razmire Builders' Merchants shop.","Area Tasks","Medium Morytania","N/A","N/A","10"
"Advanced Soul Forgery","Upgrade a piece of Death Skull or Deathwarden equipment to tier 50.","Area Tasks","Medium Underworld","N/A","N/A","10"
"Advanced Sweeping","Fully enchant your broomstick after the 'Swept Away' quest.","Lore","Post-Quest","N/A","N/A","15"
"Aereck's Old Bones","Claim ancient bones from Father Aereck after 'The Restless Ghost'.","Lore","Post-Quest","N/A","N/A","5"
"Aerial Pursuit","Defeat Barrows: Rise of the Six without anyone being hit by Verac's 'Deathcopter' attack.","Combat","Barrows: Rise of the Six","N/A","3","15"
"After the Close","Unlock the Closure's robes cosmetic override outfit after 'Once Upon a Time in Gielinor'.","Lore","Post-Quest","N/A","N/A","10"
"After the Flood","Find and read Elidinis' memoir.","Lore","Books","N/A","N/A","10"
"Aftermath","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Aged Journal","Find and read the Aged Journal in Daemonheim.","Lore","Books","N/A","N/A","10"
"Agile from Head to Toe","Unlock the agile top and leg rewards from advanced Agility courses.","Skills","Agility","N/A","N/A","20"
"Agility - Dojo Mojo","Unlock the Agility pet.","Skills","Skilling Pets","N/A","N/A","0"
"Agility 5","Reach level 5 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 10","Reach level 10 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 20","Reach level 20 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 30","Reach level 30 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 40","Reach level 40 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 50","Reach level 50 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 60","Reach level 60 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 70","Reach level 70 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 80","Reach level 80 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 90","Reach level 90 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 92 (Halfway There)","Reach level 92 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 99","Reach level 99 in the Agility skill.","Skills","Agility","N/A","N/A","5"
"Agility 110","Reach virtual level 110 in the Agility skill.","Skills","Agility","N/A","N/A","0"
"Agility 120","Reach virtual level 120 in the Agility skill.","Skills","Agility","N/A","N/A","0"
"Ahrim Bobblehead","Unlock the Ahrim bobblehead from Rise of the Six.","Combat","Boss Pets","N/A","N/A","0"
"Akh Away Quickly","Defeat Amascut, the Devourer in enrage mode without anyone taking damage from Gorilla Akh and without reflecting damage from Modest Crocodiles.","Combat","Amascut","N/A","4","25"
"Al Kharid","Activate the lodestone in Al Kharid.","Exploration","Free to Play Lodestones","N/A","N/A","5"
"Alch-aholic","Cast High-level Alchemy on a magic shortbow in Seers' Village bank.","Area Tasks","Hard Seers' Village","N/A","N/A","15"
"Alcrabholic","Kill a 'rum'-pumped crab in the 'Rum'geon on Braindeath Island.","Area Tasks","Hard Daemonheim","N/A","N/A","15"
"Ali the Trader","Unlock all Rogue Trader merchandise.","Lore","Post-Quest","N/A","N/A","15"
"All Aboard","Defeat Kree'arra after allowing him to push you from one wall to another with his wing knockback. Can only be completed in a solo instance.","Combat","God Wars Dungeon","Kree'arra","2","10"
"All Abuzz","Recover the Grand Library's collection of valuable and unique insects.","Exploration","Menaphos","N/A","N/A","25"
"All Fired Up","Complete this quest.","Lore","Quests","N/A","N/A","0"
"All Good","Fully upgrade the wicked hood.","Skills","Runecrafting","N/A","N/A","5"
"All Mine!","Mine one of each of the listed ores. (X/12)","Skills","Mining","N/A","N/A","0"
"All Natural","Defeat the Har-Aken without using any crystals within the fight.","Combat","Har-Aken","N/A","4","25"
"All Rise","Complete all Court Cases and claim a gavel and the 'the Detective' title from the courthouse clerk.","Activities","Distractions & Diversions","N/A","N/A","50"
"All Square","Sell a pyramid top to Simon.","Area Tasks","Medium Desert","N/A","N/A","10"
"All Together Now","Defeat all four images of Yakamaru within ten seconds of one another.","Combat","Liberation of Mazcab","Yakamaru","4","25"
"All Together, Now!","Defeat Amascut, the Devourer at 1000% or higher enrage while every player is hit by each 'Crushing Soul' attack.","Combat","Amascut","N/A","5","40"
"All Your Bass...","Catch and cook a bass in Catherby.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"All Your Energies","Unlock the energy-gathering scrimshaw scroll from Waiko ports reward shop.","Exploration","The Arc","N/A","N/A","10"
"Almost as Perky as a Prawn","Unlock all the Prawn Perks from your Aquarium. (X/6)","Skills","Construction","N/A","N/A","20"
"Almost Made in Ardougne","Make a rune crossbow from scratch, performing each step within either Witchaven or Yanille.","Area Tasks","Elite Ardougne","N/A","N/A","25"
"Alms of Death to the Dorgeshuun","Buy Zanik the Alms of Death.","Exploration","City of Um","N/A","N/A","5"
"Along Came a Spider I","Defeat Araxxi. (X/5)","Combat","Araxxi","N/A","N/A","5"
"Along Came a Spider II","Defeat Araxxi. (X/10)","Combat","Araxxi","N/A","N/A","5"
"Along Came a Spider III","Defeat Araxxi. (X/25)","Combat","Araxxi","N/A","3","15"
"Along Came a Spider IV","Defeat Araxxi. (X/50)","Combat","Araxxi","N/A","N/A","5"
"Along Came a Spider V","Defeat Araxxi. (X/75)","Combat","Araxxi","N/A","N/A","5"
"Along Came a Spider VI","Defeat Araxxi. (X/100)","Combat","Araxxi","N/A","N/A","5"
"Alpha vs Omega","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Altar Explorer","Play a round of Great Orb Project on each different altar map.","Activities","Minigames","N/A","N/A","10"
"Altar Native","Craft at least one of each type of rune, on their respective altars. (X/26)","Skills","Runecrafting","N/A","N/A","50"
"Altar-ed State","Use the altar in the White Knights' Castle to switch curses off, while you have Turmoil active.","Area Tasks","Elite Falador","N/A","N/A","25"
"Altered Efficiency","Have every alteration active at once.","Skills","Necromancy","N/A","N/A","10"
"Always Be Prepared","Try to obtain an anti-dragonbreath shield from Duke Horacio.","Area Tasks","Medium Lumbridge","N/A","N/A","10"
"Am I a good boy yet?","Get a gift from the stray dog after he moves into Fort Forinthry.","Lore","Post-Quest","N/A","N/A","5"
"Am I a Slayer Master Yet?","Place souls in every spot in your slayer dungeon inside the sunken pyramid.","Skills","Slayer","N/A","N/A","40"
"Amascut, the Devourer","Defeat Amascut, the Devourer. (X/1)","Combat","Amascut","N/A","N/A","0"
"Amascut, the Devourer (EM) (trio)","Defeat Amascut, the Devourer at 1000% or higher enrage in a team size of three or fewer.","Combat","Amascut","N/A","5","40"
"Amascut, the Devourer (EM) Elite Speed Killer","Defeat Amascut, the Devourer at 500% or higher enrage in less than 10:00.","Combat","Amascut","N/A","4","25"
"Amascut, the Devourer (EM) Grandmaster Speed Killer","Defeat Amascut, the Devourer at 2000% or higher enrage in less than 07:51.","Combat","Amascut","N/A","6","50"
"Amascut, the Devourer (EM) Master Speed Killer","Defeat Amascut, the Devourer at 1000% or higher enrage in less than 07:51.","Combat","Amascut","N/A","5","40"
"Amascut, the Devourer (perfect)","Defeat Amascut, the Devourer at 2000% enrage while completing the listed achievements.","Combat","Amascut","N/A","6","50"
"Amascut, the Devourer (unorthodox)","Defeat Amascut, the Devourer at 2000% enrage while completing the listed achievements.","Combat","Amascut","N/A","6","50"
"Amaskitty","Unlock the Amaskitty pet from Amascut, the Devourer.","Combat","Boss Pets","N/A","N/A","0"
"Ambassador No Maw I","Defeat the Ambassador. (X/5)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw II","Defeat the Ambassador. (X/10)","Combat","Shadow Reef","Ambassador","3","15"
"Ambassador No Maw III","Defeat the Ambassador. (X/25)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw IV","Defeat the Ambassador. (X/50)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw V","Defeat the Ambassador. (X/75)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw VI","Defeat the Ambassador. (X/100)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills I","Defeat the Ambassador solo. (X/5)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills II","Defeat the Ambassador solo. (X/10)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills III","Defeat the Ambassador solo. (X/25)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills IV","Defeat the Ambassador solo. (X/50)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills V","Defeat the Ambassador solo. (X/75)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambassador No Maw Solo Kills VI","Defeat the Ambassador solo. (X/100)","Combat","Shadow Reef","Ambassador","N/A","5"
"Ambi","Unlock the Ambi pet from the Ambassador in the Shadow Reef.","Combat","Boss Pets","N/A","N/A","0"
"Aminishi? Completed It, Mate","Defeat every miniboss inside the Temple of Aminishi.","Combat","Temple of Aminishi","N/A","N/A","20"
"Amulet of Weedspeak","Buy a Farming amulet from Sarah on the farm north of Port Sarim.","Area Tasks","Easy Falador","N/A","N/A","5"
"An Act of War","Purchase a halberd from the Tyras Camp, then use it to kill an elf in the Elf Camp.","Area Tasks","Medium Tirannwn","N/A","N/A","10"
"An Essential Accessory","Create an expansive essence pouch. Start by buying a hungry hood from Wizard Rinsit's Runecrafting Shop.","Skills","Runecrafting","N/A","N/A","20"
"An Teak","Attempt to cut a log from the teak tree near the Ruins of Uzer.","Area Tasks","Medium Desert","N/A","N/A","10"
"Anachronia","Activate the lodestone in Anachronia.","Exploration","Members' Lodestones","N/A","N/A","5"
"Ancient Awakening","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Ancient Eastern Tortle Portals","Activate all tortle portals on The Islands That Once Were Turtles. (X/3)","Exploration","The Arc","N/A","N/A","10"
"Ancient Gizmos","Study an 'ancient gizmos' blueprint (tradeable or untradeable).","Skills","Invention","N/A","N/A","0"
"Ancient Tools","Study an 'ancient tools' blueprint (tradeable or untradeable).","Skills","Invention","N/A","N/A","0"
"Ancient XP Capacitor","Study an 'XP capacitor' blueprint (tradeable or untradeable).","Skills","Invention","N/A","N/A","0"
"And Green","Use green charms to create each of the listed summoning pouches.","Skills","Summoning","N/A","N/A","20"
"And I Want It Now","Complete a complexity 6 floor solo in under 6 minutes.","Area Tasks","Medium Daemonheim","N/A","N/A","10"
"And It Was THIS Big!","Catch a pike in the river to the east of Lumbridge Castle.","Area Tasks","Easy Lumbridge","N/A","N/A","5"
"And They Called Him Weapon Poison+++","Kill a ghostly troll with Necromancy in the cave entrance to Trollgrav.","Area Tasks","Easy Underworld","N/A","N/A","5"
"Angs Off My Ring","Return the wedding ring after 'The Light Within'.","Lore","Post-Quest","N/A","N/A","15"
"Animal Cruelty","Have Durzag deal the killing blow to both Tuz and Krar.","Combat","Liberation of Mazcab","Beastmaster Durzag","4","25"
"Animal Magnetism","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Animal Whisperer","Cure 100 animals of their ailments. (X/100)","Skills","Farming","Manor Farm","N/A","10"
"Animalingual","Fully upgrade the cramulet. (X/4)","Lore","Post-Quest","N/A","N/A","15"
"Ankle Support","Wear the ankh and the Scabaras mask while in the desert.","Area Tasks","Elite Desert","N/A","N/A","25"
"Annihilator","Earn 'the Annihilator' title by fighting all four nihil at once.","Lore","Post-Quest","Combat (Post-Quest)","N/A","20"
"Another One Scabarites The Dust","Kill elite profane scabarites with the primed keris equipped to upgrade it after 'Beneath Scabaras' Sands'. (X/200)","Lore","Post-Quest","Combat (Post-Quest)","N/A","10"
"Another Slice of H.A.M.","Complete this quest.","Lore","Quests","N/A","N/A","0"
"Another String to Your Bow","Spin five bowstrings.","Area Tasks","Easy Seers' Village","N/A","N/A","5"
"Anti-anima-golem","Defeat Telos, the Warden at 100% or higher enrage without being hit by an anima-golem.","Combat","Telos","N/A","5","40"
"Anti-antifire","Defeat the King Black Dragon without using dragonfire protection to mitigate his attacks","Combat","King Black Dragon","N/A","2","10"
"Any fin is Possible","Cook 1 of each type of fish.","Area Tasks","Elite Daemonheim","N/A","N/A","25"
"Any Odd Chicken","Claim Professor Oddenstein's extra rewards after 'Ernest the Chicken'.","Lore","Post-Quest","N/A","N/A","5"
"Any Port in a Storm","Activate all portals within the citadel.","Skills","Archaeology","Armadylean","N/A","10"
"Ape A'hollow","Unblock the hollow log and tunnel shortcut after 'Fairy Tale III'.","Lore","Post-Quest","N/A","N/A","15"
"Aquatic Escape","Escape Kharid-et by boat.","Skills","Archaeology","Zarosian","N/A","10"
"Arachnophagia","Cook a spider on a stick.","Area Tasks","Medium Karamja","N/A","N/A","10"
"Arandar-bout Way","Enter through the gates of the Arandar Pass while wearing only a full set of Mourner gear.","Area Tasks","Easy Tirannwn","N/A","N/A","5"
"Araxxi","Defeat Araxxi. (X/1)","Combat","Araxxi","N/A","N/A","0"
"Araxxi Competent Speed Killer","Defeat Araxxi solo in less than 05:00.","Combat","Araxxi","N/A","3","15"
"Araxxi Elite Speed Killer","Defeat Araxxi solo in less than 03:00.","Combat","Araxxi","N/A","4","25"
"Araxxi Master Speed Killer","Defeat Araxxi solo in less than 01:42.","Combat","Araxxi","N/A","5","40"
"Arborehole","Chop down a magic tree in the Varrock Sewers resource dungeon.","Area Tasks","Elite Varrock","N/A","N/A","25"
"Arc Journal","Complete the Arc journal.","Exploration","The Arc","N/A","N/A","50"
"Arc Reactor","Beat Seiryu without anyone taking damage from the shadow tendrils.","Combat","Temple of Aminishi","Seiryu","3","15"
"Arch Archer","Have the Ranging Guild judge congratulate you for acquiring over 1,000 archery tickets.","Area Tasks","Medium Seers' Village","N/A","N/A","10"
"Arch-Glacor","Defeat the Arch-Glacor. (X/1)","Combat","Arch-Glacor","N/A","N/A","0"
"Arch-Glacor (HM) Elite Speed Killer","Defeat the Arch-Glacor in hard mode at 500% or higher enrage in less than 05:00.","Combat","Arch-Glacor","N/A","4","25"
"Arch-Glacor (HM) Grandmaster Speed Killer","Defeat the Arch-Glacor in hard mode at 3000% or higher enrage in less than 05:30.","Combat","Arch-Glacor","N/A","6","50"
"Arch-Glacor (HM) Master Speed Killer","Defeat the Arch-Glacor in hard mode at 1000% or higher enrage in less than 02:30.","Combat","Arch-Glacor","N/A","5","40"
"Arch-Glacor Competent Speed Killer","Defeat the Arch-Glacor solo with all mechanics enabled in less than 03:00.","Combat","Arch-Glacor","N/A","3","15"
"Archaeology - Archie","Unlock the Archaeology pet.","Skills","Skilling Pets","N/A","N/A","0"
"Archaeology 5","Reach level 5 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 10","Reach level 10 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 20","Reach level 20 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 30","Reach level 30 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 40","Reach level 40 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 50","Reach level 50 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
"Archaeology 60","Reach level 60 in the Archaeology skill.","Skills","Archaeology","N/A","N/A","5"
